name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
KOI-1299 c,Confirmed,2.63,0.4,0.4,2.63,0.4,0.4,0,,,411,0.9,3.2,1.188,0.06,0.04,0.64,0.14,0.14,,,,,2014,11/19/14,53.2,9,9,2456134.9,3,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Kepler-432,293.2833333,48.28583334,13,,,,,874,30,30,-0.02,0.06,0.06,1.35,0.1,0.1,4.15,0.12,0.12,K2III,3.6,1,0.6,5020,60,60,,,
KOI-188 b,Confirmed,0.25,0.08,0.08,0.25,0.08,0.08,0.978,0.022,0.022,3.79701816,1.90E-07,1.90E-07,0.0464,0.0008,0.0008,0.33,0,0.33,87.02,0.08,0.08,,2014,1/10/16,,,,,,,,,,2454966.509,3.90E-05,3.90E-05,,,,,,,0.602,,,,,,34,10,10,1070,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-188,290.3583333,40.56777779,15,,,,,650,20,20,0.24,0.11,0.11,0.93,0.05,0.05,0.86,0.025,0.025,K1V,5,4,4,5170,70,70,,,
KOI-192 b,Confirmed,0.29,0.09,0.09,0.29,0.09,0.09,1.23,0.21,0.21,10.290994,1.10E-06,1.10E-06,0.091,0.01,0.01,0.57,0,0.57,89.5,0.45,0.45,,2014,1/10/16,,,,,,,,,,2454970.022,9.00E-05,9.00E-05,,,,,,,,0.09,0.09,,,,29.8,9.1,9.1,1100,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-192,288.2541667,43.70500002,14.5,,,,,1100,150,150,-0.19,0.07,0.07,0.96,0.06,0.06,1.35,0.2,0.2,G2V,7,4,4,5800,70,70,,,
KOI-195 b,Confirmed,0.34,0.08,0.08,0.34,0.08,0.08,1.09,0.03,0.03,3.21751883,1.90E-07,1.90E-07,0.0414,0.001,0.001,0.18,0,0.18,85.74,0.06,0.06,,2014,10/29/14,,,,,,,,,,2454966.632,4.70E-05,4.70E-05,,,,,,,0.718,0.007,0.007,,,,50,10,10,1300,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-195,289.4333333,49.47333335,15,,,,,880,30,30,-0.21,0.08,0.08,0.91,0.06,0.06,0.92,0.025,0.025,G1V,6,4,4,5725,90,90,,,
KOI-830 b,Confirmed,1.27,0.19,0.19,1.27,0.19,0.19,1.08,0.03,0.03,3.52563254,1.50E-07,1.50E-07,0.0433,0.0009,0.0009,0.22,0,0.22,89.36,0.043,0.043,,2014,10/29/14,,,,,,,,,,2455003.048,3.20E-05,3.20E-05,,,,,,,0.13,,,,,,108,26,26,1070,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-830,290.5833333,40.57750002,15.5,,,,,730,25,25,0.09,0.17,0.17,0.87,0.05,0.05,0.8,0.02,0.02,,5,4,4,5150,100,100,,,
Kapteyn's b,Confirmed,0.015102413,0.003146336,0.003146336,0.015102413,0.003146336,0.003146336,0,,,48.616,0.036,0.036,0.168,0.008,0.008,0.21,0.11,0.11,,,,,2014,5/13/15,80.4,30,30,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,Kapteyn's,77.92083335,-45.01833334,8.8,,,,,3.91,0.01,0.01,-0.86,,,0.281,0.014,0.014,0.29,0.025,0.025,dM1,8,7.5,7.5,3550,50,50,,,
Kapteyn's c,Confirmed,0.022024353,0.003775603,0.003775603,0.022024353,0.003775603,0.003775603,0,,,121.54,0.25,0.25,0.311,0.04,0.014,0.23,0.12,0.12,,,,,2014,6/4/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,Kapteyn's,77.92083335,-45.01833334,8.8,,,,,3.91,0.01,0.01,-0.86,,,0.281,0.014,0.014,0.29,0.025,0.025,dM1,8,7.5,7.5,3550,50,50,,,
Kepler-10 b,Confirmed,0.010477299,0.001541705,0.001541705,,,,0.1314,0.0023,0.0023,0.83749026,2.90E-07,2.90E-07,0.01685,0.00013,0.00013,0.06,0.06,0.16,84.8,3.9,3.9,9.70E-05,2011,11/25/15,,,,,,,,,,2455034.087,0.00018,0.00018,,,,,,,,,,,,,,,,2169,,,,,0.58,0.25,0.23,,Published in a refereed paper,Primary Transit,,,,,Kepler-10,285.6791667,50.2413889,11.16,,,,,173,27,27,-0.15,0.04,0.04,0.91,0.021,0.021,1.065,0.009,0.009,G,10.6,1.5,1.5,5708,28,28,,,
Kepler-10 c,Confirmed,0.054118366,0.005979236,0.005983112,0.054116981,0.005978039,0.005978039,0.2072,0.0025,0.0025,45.294301,4.80E-05,4.80E-05,0.241,0.0019,0.0019,0.05,0.05,0.2,89.59,0.43,0.25,0.001391,2011,11/25/15,,,,,,,,,,2455062.266,0.0081,0.0081,,,,,,,,,,,,,,,,584,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-10,285.6791667,50.2413889,11.16,,,,,173,27,27,-0.15,0.04,0.04,0.91,0.021,0.021,1.065,0.009,0.009,G,10.6,1.5,1.5,5708,28,28,,,
Kepler-17 b,Confirmed,2.45,0.014,0.014,,,,1.312,0.018,0.018,1.4857108,2.00E-07,2.00E-07,0.02591,0.00037,0.00037,0.011,inf,nan,87.2,0.15,0.15,3.20E-05,2011,10/19/13,,,,,,,,,,2455185.678,2.60E-05,2.60E-05,,,,,,,,,,,,,,,,1655,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-17,298.3958333,47.815,14,,,,,800,100,100,0.26,0.1,0.1,1.16,0.06,0.06,1.05,0.03,0.03,G2V,1.78,inf,nan,5781,85,85,,,
Kepler-20 b,Confirmed,0.0305,0.00453,0.00444,,,,0.1667,0.003,0.0059,3.69611525,8.70E-07,1.15E-06,0.0463,0.0015,0.0009,0.03,0.03,0.09,87.355,1.594,0.215,0.000156,2011,8/26/16,,,,,,,,,,2454967.502,0.000217,0.000253,,,,,,,,,,,,,4.2,0.65,0.55,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-20 c,Confirmed,0.04012,0.00705,0.00683,,,,0.2718,0.005,0.0057,10.85409089,2.60E-06,3.03E-06,0.0949,0.0023,0.0027,0.16,0.09,0.01,89.815,0.632,0.036,0.000321,2011,8/26/16,,,,,,,,,,2454971.608,0.000202,0.000248,,,,,,,,,,,,,3.84,0.63,0.67,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-20 d,Confirmed,0.03168,0.0116,0.0125,,,,0.2448,0.0049,0.0065,77.61130017,0.00011588,0.00012305,0.3506,0.0101,0.0081,0.6,inf,nan,89.708,0.053,0.165,0.001191,2011,8/26/16,,,,,,,,,,2454997.73,0.001577,0.001179,,,,,,,,,,,,,1.57,0.57,0.62,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-20 g,Confirmed,0.0628,0.0114,0.00969,0.0628,0.0114,0.00969,0,,,34.94,0.035,0.038,0.2055,0.0021,0.0022,0.15,0.1,0.01,,,,,2016,8/26/16,,,,,,,,,,2454967.5,0.00068,0.00058,,,,,,,,,,,,,4.1,0.72,0.61,0,,,,,0,,,,Published in a refereed paper,Other,Theoretical,,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-21 b,Confirmed,0.016,0.00541,0.00541,,,,0.1462,0.0013,0.0017,2.78578,3.00E-05,3.00E-05,0.0427172,3.00E-07,3.00E-07,0.02,0.02,0.1,83.2,0.26,0.28,0.000394,2011,9/27/16,245,79,79,2456797.9,0.7,0.7,,,,2455093.837,0.00085,0.00062,,,,,,,0.584,0.02,0.018,,,,1.99,0.65,0.65,2025,,,,,0,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-21,287.3625,38.7138889,8.27,,,,,108,19,19,-0.15,0.06,0.06,1.34,0.06,0.06,1.86,0.04,0.04,F6IV,2.84,0.35,0.35,6131,44,44,,,
Kepler-289 b,Confirmed,0.023,0.021,0.021,0.023,0.021,0.021,0.192,0.009,0.009,34.545,0.0005,0.0005,0.21,0.01,0.01,0.024,0.024,0.024,89.59,0.48,0.3,,2014,2/12/16,28,,,,,,,,,2454965.64,0.004,0.004,,,,,,,0.04,0.68,0.68,,,,,,,0,,,,,0,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,PH3 b,,Kepler-289,297.4653321,42.882851,12.9,,,,,700,14,14,0.05,0.04,0.04,1.08,0.02,0.02,1,0.02,0.02,,0.65,0.44,0.44,5990,38,38,,,PH3
Kepler-289 c,Confirmed,0.013,0.003,0.003,0.013,0.003,0.003,0.239,0.015,0.015,66.0634,0.0114,0.0114,0.33,0.02,0.02,0.0115,,,89.73,0.38,0.2,,2014,2/12/16,72,,,,,,,,,2454975.644,0.0068,0.0068,,,,,,,0.05,0.76,0.7,,,,,,,0,,,,,0,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,PH3 c,,Kepler-289,297.4653321,42.882851,12.9,,,,,700,14,14,0.05,0.04,0.04,1.08,0.02,0.02,1,0.02,0.02,,0.65,0.44,0.44,5990,38,38,,,PH3
Kepler-289 d,Confirmed,0.415,0.053,0.053,0.415,0.053,0.053,1.034,0.017,0.017,125.8518,0.0076,0.0076,0.51,0.03,0.03,0.0033,0.011,0.011,89.794,0.017,0.017,,2014,2/12/16,45,,,,,,,,,2455059.653,0.0077,0.0077,,,,,,,0.394,0.02,0.026,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,PH3 d,,Kepler-289,297.4653321,42.882851,12.9,,,,,700,14,14,0.05,0.04,0.04,1.08,0.02,0.02,1,0.02,0.02,,0.65,0.44,0.44,5990,38,38,,,PH3
Kepler-39 b,Confirmed,18,0.91,0.93,,,,1.22,0.1,0.12,21.0874,0.0002,0.0002,0.155,0.03,0.03,0.121,0.023,0.022,88.83,0.4,0.59,,2011,2/24/16,98.9,6.8,5.9,,,,,,,2454972.596,0.0006,0.0006,,,,,,,,,,,,,,,,905,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-423 b,,Kepler-39,296.9583333,46.0344444,14.3,,,,,1200,250,250,-0.29,0.1,0.1,1.1,0.06,0.07,1.39,0.1,0.11,F7IV,5.08,1.5,1.5,6260,140,140,,,KOI-423
Kepler-4 b,Confirmed,0.082434006,0.012805588,0.012805588,,,,0.356856735,0.018734979,0.018734979,3.21346,0.00022,0.00022,0.0456,0.0009,0.0009,0,,,89.76,2.05,2.05,8.30E-05,2010,11/5/13,,,,,,,,,,2454956.613,0.0015,0.0015,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-4,285.6166667,50.1358333,12.7,,,,,550,80,80,0.17,0.06,0.06,1.223,0.091,0.091,1.487,0.084,0.084,G0,4.5,1.5,1.5,5857,120,120,,,
Kepler-40 b,Confirmed,2.2,0.4,0.4,,,,1.17,0.04,0.04,6.87349,0.00064,0.00064,0.08,0.003,0.003,0,,,89.7,0.1,0.1,3.00E-05,2010,2/24/16,,,,,,,,,,2455005.52,0.0024,0.0024,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-428 b,,Kepler-40,296.8125,47.5266667,14.76,,,,,2700,200,200,0.1,0.1,0.1,1.48,0.06,0.06,2.13,0.06,0.06,F5IV,2.8,0.3,0.3,6510,100,100,,,
Kepler-41  b,Confirmed,0.49,0.09,0.09,,,,0.841,0.032,0.032,1.855558,7.00E-06,7.00E-06,0.029,0.001,0.001,0,,,88.3,0.7,0.7,4.00E-05,2011,2/24/16,,,,,,,,,,2454970.18,0.0003,0.0003,,,,,,,,,,,,,,,,1745,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-196 b,,Kepler-41,294.5125,45.9816667,14.5,,,,,730,70,70,-0.09,0.16,0.16,0.94,0.09,0.09,0.966,0.032,0.032,G2V,7.4,3.4,3.4,5660,100,100,,,
Kepler-412 b,Confirmed,0.939,0.085,0.085,,,,1.325,0.043,0.043,1.720861232,4.70E-08,4.70E-08,0.02959,0.00078,0.00078,0.0038,0.0032,0.0087,80.89,0.2,0.2,,2014,5/21/14,125,150,49,,,,,,,2454966.021,2.30E-05,2.30E-05,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-412,286.1083333,43.68083336,13.73,,,,,1056,0.036,0.036,0.27,0.12,0.12,1.167,0.091,0.091,1.287,0.035,0.035,G3V,5.1,1.7,1.7,5750,90,90,,,
Kepler-420 A b,Confirmed,1.45,0.35,0.35,,,,0.94,0.12,0.12,86.647661,3.40E-05,3.40E-05,0.382,0.006,0.006,0.772,0.045,0.045,89.66,0.24,0.38,,2014,1/17/17,141.3,17,17,,,,,,,2455006.795,0.0004,0.0004,,,,74,32,46,,,,,,,,,,511,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-1257 b,,Kepler-420 A,291.225,44.59416669,,,,,,900,110,110,0.27,0.09,0.09,0.99,0.05,0.05,1.13,0.14,0.14,G5V,9.3,3,3,5520,80,80,,,KOI-1257
Kepler-43 b,Confirmed,3.23,0.19,0.19,,,,1.2,0.06,0.06,3.024095,2.10E-05,2.10E-05,0.0449,0.001,0.001,0.025,inf,nan,84.35,0.4,0.4,2.30E-05,2011,2/24/16,,,,,,,,,,2454965.416,0.0006,0.0006,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-135 b,,Kepler-43,285.2416667,46.6683333,14,,,,,1950,250,250,0.33,0.11,0.11,1.32,0.09,0.09,1.42,0.07,0.07,G0V/G0IV,2.8,0.8,1,6041,143,143,,,
Kepler-432 b,Confirmed,5.41,0.3,0.19,5.41,0.3,0.19,1.45,0.039,0.039,52.501134,7.00E-05,0.000107,0.301,0.016,0.011,0.5121,0.0084,0.0107,88.17,0.61,0.33,,2014,12/4/14,65.6,1.8,1.8,,,,,,,2455949.537,0.0018,0.0018,,,,,,,,,,,,,294.5,2.1,2.1,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-432,293.2833333,48.28583334,13,,,,,874,30,30,-0.02,0.06,0.06,1.35,0.1,0.1,4.15,0.12,0.12,K2III,3.6,1,0.6,5020,60,60,,,
Kepler-433 b,Confirmed,2.82,0.52,0.52,,,,1.45,0.16,0.16,5.33408384,1.10E-06,1.10E-06,0.059,,,0.119,0.079,0.079,89.21,0.9,0.52,,2012,12/26/16,,,,,,,,,,2454964.982,0.00015,0.00015,,,,,,,0.082,0.081,0.081,,,,259,44,44,0,,,,,0,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,KOI-206 b,,Kepler-433,297.5916667,40.9772222,14.5,,,,,1870,210,210,-0.01,0.2,0.2,2.82,0.52,0.52,1.45,0.16,0.16,,2.67,0.91,0.91,6360,140,140,,,KOI-206
Kepler-434 b,Confirmed,2.86,0.35,0.35,,,,1.13,0.18,0.26,12.877099,5.00E-05,5.00E-05,0.1143,0.003,0.003,0.131,0.072,0.072,86.46,0.74,0.38,,2015,12/26/16,,,,,,,,,,2455003.023,0.00042,0.00042,,,,,,,0.979,0.031,0.031,,,,221,23,23,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,KOI-614 b,,Kepler-434,293.5863708,42.92891114,,,,,,1240,120,120,0.25,0.14,0.14,1.198,0.093,0.093,1.38,0.13,0.13,,4,1.7,1.7,5977,95,95,,,KOI-614
Kepler-435 b,Confirmed,0.84,0.15,0.15,,,,1.99,0.18,0.18,8.6001536,1.80E-06,1.80E-06,0.0948,0.0018,0.0018,0.114,0.077,0.077,85.51,0.52,0.52,,2012,12/26/16,,,,,,,,,,2455010.642,0.0004,0.0004,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,KOI-680 b,,Kepler-435,292.2875,43.1972222,14,,,,,2070,200,200,-0.18,0.11,0.11,1.538,0.088,0.088,3.21,0.3,0.3,,2.25,0.42,0.42,6161,94,94,,,KOI-680
Kepler-44 b,Confirmed,1.02,0.07,0.07,,,,1.24,0.07,0.07,3.24674,1.80E-05,1.80E-05,0.0455,0.0013,0.0013,0.021,inf,nan,83.78,0.55,0.55,2.00E-05,2011,2/24/16,,,,,,,,,,2454966.378,0.0004,0.0004,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-204 b,,Kepler-44,300.1041667,45.7622222,15,,,,,2250,300,300,0.26,0.1,0.1,1.19,0.1,0.1,1.52,0.09,0.09,G2IV,6.95,1.7,1.7,5757,134,134,,,
Kepler-448 b,Confirmed,10,9.999,0,,,,1.43,0.13,0.13,17.8552333,9.00E-07,9.00E-07,0.151,0.003,0.003,0,0,0.72,88.95,0.25,0.15,,2015,8/7/17,,,,,,,,,,,,,,,,253,2.8,4.2,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,KOI-12 b,,KOI-12,297.4537167,41.01099723,11.51,,,,,426,40,40,,,,1.452,0.093,0.093,1.63,0.15,0.15,,1.5,0.5,0.5,6820,120,120,,,Kepler-448
Kepler-46 b,Confirmed,0.885,0.343,0.374,,,,0.812,0.043,0.043,33.60134,0.00021,0.00021,0.1967,0.0029,0.0029,0.01,0.01,0.01,89.033,0.069,0.069,0.00023,2012,4/6/17,,,,,,,,,,2455053.283,0.0014,0.0014,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-872 b,,Kepler-46,289.2708333,42.6041667,15.3,,,,,857,69,69,0.41,0.1,0.1,0.902,0.04,0.04,0.94,0.04,0.04,,9.9,3.1,3.1,5155,105,105,,,
Kepler-46 c,Confirmed,0.362,0.016,0.016,,,,0,,,57.004,0.1,0.1,0.2799,0.0041,0.0041,0.0145,0.0039,0.0039,87.25,0.95,0.95,0.000327,2012,4/6/17,329.4,11,11,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,TTV,TTV,,KOI-872 c,,Kepler-46,289.2708333,42.6041667,15.3,,,,,857,69,69,0.41,0.1,0.1,0.902,0.04,0.04,0.94,0.04,0.04,,9.9,3.1,3.1,5155,105,105,,,
Kepler-65 c,Confirmed,0.084,0.058,0.064,0.084,0.058,0.064,0.2294,0.0029,0.0029,5.8599408,2.30E-06,2.30E-06,0.068,0.002,0.004,0.08,0.08,0.13,,,,,2013,12/2/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-65,288.6875,41.15113583,11.018,10.882,10.066,9.852,9.806,312.43,9.75,9.75,0.17,0.06,0.06,1.199,0.03,0.029,1.399,0.012,0.012,B,3.89,0.48,0.59,6211,66,66,,,
Kepler-68 b,Confirmed,0.0188,0.0053,0.0053,,,,0.206,0.05,0.08,5.3987533,1.30E-06,1.30E-06,0.0617,0.00056,0.00056,0.02,0.02,0.13,87.6,0.9,0.9,,2013,11/30/15,,,,,,,,,,2455006.857,0.00042,0.00042,,,,,,,0.48,0.01,0.01,,,,2.07,0.59,0.59,1280,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-68,291.0333333,49.04027778,,,,,,135,10,10,0.12,0.074,0.074,1.079,0.051,0.051,1.243,0.019,0.019,,6.3,1.7,1.7,5793,74,74,,,
Kepler-68 c,Confirmed,0.00686,0.011,0.011,,,,0.0827,0.0022,0.0022,9.604979,4.50E-05,4.50E-05,0.09059,0.00082,0.00082,0.42,0.1,0.41,86.93,0.41,0.41,,2013,11/30/15,,,,,,,,,,2454969.381,0.0041,0.0041,,,,,,,0.77,0.01,0.01,,,,0.57,0.9,0.9,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-68,291.0333333,49.04027778,,,,,,135,10,10,0.12,0.074,0.074,1.079,0.051,0.051,1.243,0.019,0.019,,6.3,1.7,1.7,5793,74,74,,,
Kepler-68 d,Confirmed,0.84,0.05,0.05,0.84,0.05,0.05,0,,,625,16,16,1.4,0.03,0.03,0.18,0.05,0.05,,,,,2013,11/30/15,,,,,,,,,,,,,,,,,,,,,,,,,19.06,0.58,0.58,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,Kepler-68,291.0333333,49.04027778,,,,,,135,10,10,0.12,0.074,0.074,1.079,0.051,0.051,1.243,0.019,0.019,,6.3,1.7,1.7,5793,74,74,,,
Kepler-74 b,Confirmed,0.68,0.09,0.09,,,,1.32,0.14,0.14,7.340718,1.00E-06,1.00E-06,0.084,0.014,0.014,0.287,0.062,0.062,85.55,0.96,0.96,,2012,2/24/16,64,21,21,2454967.04,0.21,0.34,,,,2454967.345,0.0003,0.0003,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Primary Transit,,,KOI-200 b,,Kepler-74,293.0916667,41.3555556,14.23,,,,,1330,170,170,0.34,0.14,0.14,1.4,0.11,0.14,1.51,0.14,0.14,F8V,2.9,0.8,1.5,6050,110,110,,,
Kepler-75 b,Confirmed,9.9,0.5,0.5,,,,1.03,0.06,0.06,8.884924,2.00E-06,2.00E-06,0.08,0.005,0.005,0.569,0.01,0.01,89.1,1,0.6,,2013,2/24/16,63.6,1.4,1.4,2455002.841,0.011,0.011,,,,2455002.991,0.0002,0.0002,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,KOI-889 b,,Kepler-75,291.1375,36.5775,15,,,,,1140,160,250,-0.07,0.15,0.15,0.88,0.06,0.06,0.88,0.04,0.04,G8V,6,3,3,5330,120,120,,,
Kepler-77 b,Confirmed,0.43,0.032,0.032,,,,0.96,0.016,0.016,3.5787087,2.30E-07,2.30E-07,0.04501,0.00063,0.00063,0,,,88,0.11,0.11,,2013,9/18/13,,,,,,,,,,2455095.866,2.90E-05,2.90E-05,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-77,289.607971,44.345421,15,,,,,570,70,70,0.2,0.05,0.05,0.95,0.04,0.04,0.99,0.02,0.02,G5V,7.5,2,2,5520,60,60,,,
Kepler-8 b,Confirmed,0.603,0.19,0.13,,,,1.419,0.058,0.058,3.52254,5.00E-05,5.00E-05,0.0483,0.0012,0.0012,0,,,84.07,0.33,0.33,3.60E-05,2010,2/26/15,,,,,,,,,,2454954.118,0.0004,0.0004,,,,,,,,,,,,,,,,1638,,,,,0.11,0.03,0.03,,Announced on a professional conference,Primary Transit,,,,,Kepler-8,281.2875,42.4511111,13.9,,,,,1330,180,180,-0.055,0.03,0.03,1.213,0.063,0.063,1.486,0.062,0.062,,3.84,1.5,1.5,6213,150,150,,,
Kepler-88 c,Confirmed,0.626869808,0.034292577,0.030169274,0.625491615,0.033351163,0.028946292,0,,,22.3395,0.0017,0.0019,0.1529,0.0021,0.0021,0.05628,0.0028,0.0014,86.2,1.3,1.6,,2013,9/14/15,270.76,0.99,1.82,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,Kepler-88,291.15,40.6694,13.5,,11.882,11.517,11.454,385,20,16,0.37,0.08,0.08,1.022,0.026,0.023,0.961,0.024,0.02,B,2.45,0.77,1.2,5513,67,67,,,KOI-142
Kepler-91 b,Confirmed,0.73,0.13,0.13,,,,1.384,0.054,0.011,6.24658,8.20E-05,8.20E-05,0.072,0.007,0.002,0.066,0.017,0.013,68.5,1.6,1,,2013,8/15/14,316.8,74,21,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-91,285.6708333,44.11666667,12.9,,,,,1030,130,150,0.11,0.07,0.07,1.31,0.1,0.1,6.3,0.16,0.16,,4.86,2.13,2.13,4550,75,75,,,
LHS 1140 b,Confirmed,0.0209,0.00573,0.00573,,,,0.128,0.0089,0.0089,24.73712,0.00025,0.00025,0.0875,0.0041,0.0041,0.29,0.29,0,89.912,0.07,0.07,,2017,5/2/17,,,,,,,,,,2456915.7,0.0054,0.0054,,,,,,,,,,,,,5.34,1.1,1.1,230,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,LHS 1140,11.24583335,-15.2713889,14.15,,,,,12.47,0.42,0.42,-0.24,0.1,0.1,0.146,0.019,0.019,0.186,0.013,0.013,M4.5,5,0,8,3131,100,100,,,
MASCARA-1 b,Confirmed,3.7,0.9,0.9,,,,1.5,0.3,0.3,2.14878,8.00E-06,8.00E-06,0.043,0.005,0.005,0,,,87,3,2,,2017,8/9/17,,,,,,,,,,2457097.278,0.002,0.002,,,,69.5,3,3,0.2,0.1,0.1,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit, HD 20158 b,,MASCARA-1,317.5515517,10.73887502,8.3,,,,,188.7,10.7,10.7,0,,,1.72,0.07,0.07,2.1,0.2,0.2,A8,1,0.2,0.2,7554,150,150,,,HD 201585
