# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
HAT-P-17 c,1.4,1.4,0,1798,2.75,0.1,,0.030556,155,,,,0,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90,0,0.857,0.837,K,7.8,5246,,
HAT-P-18 b,0.183,,0.947,5.508029,0.0559,0.106,88.79,0.000337,120,0.324,841,,0,2.734,HAT-P-18,256.35,33.0125,12.76,,,,,166,0.1,0.77,0.717,K,12.4,4870,,
HAT-P-19 b,0.292,,1.132,4.008784,0.0466,0.067,88.51,0.000217,256,,,,0,,HAT-P-19,9.5166667,34.7116667,12.9,,,,,215,0.23,0.842,0.82,K,8.8,4990,,
HAT-P-2 b,8.74,,0.951,5.6334729,0.0674,0.5171,90,0.000571,185.22,,,,0,,HAT-P-2,245.15,41.0480556,8.71,,,,,118,0.04,1.34,1.54,F8,2.7,6414,,
HAT-P-20 b,7.246,,0.867,2.875317,0.0361,0.015,81.9,0.000516,317,,,,0,,HAT-P-20,111.9166667,24.3363889,11.34,,,,,70,0.35,0.756,0.694,K7,6.7,4595,,
HAT-P-21 b,4.063,,1.024,4.124461,0.0494,0.228,87.2,0.000194,300,,,,0,,HAT-P-21,171.275,41.0280556,11.46,,,,,254,0.01,0.947,1.105,G3,10.2,5588,,
HAT-P-22 b,2.147,,1.08,3.21222,0.0414,0.016,73.6,0.000505,156,,,,0,,HAT-P-22,155.6833333,50.1283333,9.73,,,,,82,0.24,0.916,1.04,G5,12.4,5302,,
HAT-P-23 b,2.09,,1.368,1.212884,0.0232,0.106,85.1,5.90E-05,118,,,,0,,HAT-P-23,306.125,16.7622222,11.94,,,,,393,0.16,1.13,1.29,G5,4,5924,,
HAT-P-24 b,0.685,,1.242,3.35524,0.0465,0.067,88.6,0.000152,197,,,,0,,HAT-P-24,108.825,14.2622222,11.82,,,,,306,-0.16,1.191,1.317,F8,2.8,6373,,
HAT-P-25 b,0.567,,1.19,3.652836,0.0466,0.032,87.6,0.000157,271,,,,0,,HAT-P-25,48.4375,25.1975,13.19,,,,,297,0.31,1.01,0.959,G5,3.2,5500,,
HAT-P-26 b,0.058521851,,0.564725782,4.234516,0.0479,0.124,88.6,0.000357,54,,,,0,,HAT-P-26,213.1564042,4.06003612,11.74,,,,,134,-0.04,0.816,0.788,K1,9,5079,,
